timestamp_s,TMS Pulse,Date,Time,M1 Location,,,
1276.2,282,11/5/2024,12:20:22.1 PM,Rm2,,,
1279.2,283,11/5/2024,12:20:25.1 PM,Rm2,,,
1291.6,284,11/5/2024,12:20:37.5 PM,Rm2,,,
1295.4,285,11/5/2024,12:20:41.3 PM,Rm2,,,
1297.4,286,11/5/2024,12:20:43.3 PM,Rm2,,,
1299.5,287,11/5/2024,12:20:45.4 PM,Rm2,,,
1302,288,11/5/2024,12:20:47.9 PM,Rm2,,,
1304.1,289,11/5/2024,12:20:50.0 PM,Rm2,,,
1306.3,290,11/5/2024,12:20:52.2 PM,Rm2,,,
1308.7,291,11/5/2024,12:20:54.6 PM,Rm2,,,
1311.4,292,11/5/2024,12:20:57.3 PM,Rm2,,,
1314,293,11/5/2024,12:20:59.9 PM,Rm2,,,
1316.7,294,11/5/2024,12:21:02.6 PM,Rm2,,,
1320.1,295,11/5/2024,12:21:06.0 PM,Rm2,,,
1332.9,296,11/5/2024,12:21:18.8 PM,Rm2,,,
1333.9,297,11/5/2024,12:21:19.8 PM,Rm2,,,
1335.7,298,11/5/2024,12:21:21.6 PM,Rm2,,,
1341.4,299,11/5/2024,12:21:27.3 PM,Rm2,,,
1343.8,300,11/5/2024,12:21:29.7 PM,Rm2,,,
1348.2,301,11/5/2024,12:21:34.1 PM,Rm2,,,
1350.4,302,11/5/2024,12:21:36.3 PM,Rm2,,,
1353,303,11/5/2024,12:21:38.9 PM,Rm2,,,
1355.7,304,11/5/2024,12:21:41.6 PM,Rm2,,,
1358,305,11/5/2024,12:21:43.9 PM,Rm2,,,
1361.5,306,11/5/2024,12:21:47.4 PM,Rm2,,,
1365.4,307,11/5/2024,12:21:51.3 PM,Rm2,,,
1369.5,308,11/5/2024,12:21:55.4 PM,Rm2,,,
1370.8,309,11/5/2024,12:21:56.7 PM,Rm2,,,
1372.1,310,11/5/2024,12:21:58.0 PM,Rm2,,,
1374.2,311,11/5/2024,12:22:00.1 PM,Rm2,,,
1376.8,312,11/5/2024,12:22:02.7 PM,Rm2,,,
1381.2,313,11/5/2024,12:22:07.1 PM,Rm2,,,
1383.3,314,11/5/2024,12:22:09.2 PM,Rm2,,,
1385.8,315,11/5/2024,12:22:11.7 PM,Rm2,,,
1388.3,316,11/5/2024,12:22:14.2 PM,Rm2,,,
1390.9,317,11/5/2024,12:22:16.8 PM,Rm2,,,
1393.2,318,11/5/2024,12:22:19.1 PM,Rm2,,,
1395.9,319,11/5/2024,12:22:21.8 PM,Rm2,,,
1400.2,320,11/5/2024,12:22:26.1 PM,Rm2,,,
1403.3,321,11/5/2024,12:22:29.2 PM,Rm2,,,
1405.2,322,11/5/2024,12:22:31.1 PM,Rm2,,,
1407.6,323,11/5/2024,12:22:33.5 PM,Rm2,,,
1410.2,324,11/5/2024,12:22:36.1 PM,Rm2,,,
1411.2,325,11/5/2024,12:22:37.1 PM,Rm2,,,
1413.5,326,11/5/2024,12:22:39.4 PM,Rm2,,,
1414.5,327,11/5/2024,12:22:40.4 PM,Rm2,,,
1416.6,328,11/5/2024,12:22:42.5 PM,Rm2,,,
1417.6,329,11/5/2024,12:22:43.5 PM,Rm2,,,
1453.9,330,11/5/2024,12:23:19.8 PM,Rm2,,,
1456.2,331,11/5/2024,12:23:22.1 PM,Rm2,,,
1459,332,11/5/2024,12:23:24.9 PM,Rm2,,,
1461.8,333,11/5/2024,12:23:27.7 PM,Rm2,,,
1466.3,334,11/5/2024,12:23:32.2 PM,Rm2,,,
1468.6,335,11/5/2024,12:23:34.5 PM,Rm2,,,
1471.2,336,11/5/2024,12:23:37.1 PM,Rm2,,,
1473.8,337,11/5/2024,12:23:39.7 PM,Rm2,,,
1476.3,338,11/5/2024,12:23:42.2 PM,Rm2,,,
1480.4,339,11/5/2024,12:23:46.3 PM,Rm2,,,
1483,340,11/5/2024,12:23:48.9 PM,Rm2,,,
1485.9,341,11/5/2024,12:23:51.8 PM,Rm2,,,
1488.1,342,11/5/2024,12:23:54.0 PM,Rm2,,,
1490.5,343,11/5/2024,12:23:56.4 PM,Rm2,,,
1493.4,344,11/5/2024,12:23:59.3 PM,Rm2,,,
1496.1,345,11/5/2024,12:24:02.0 PM,Rm2,,,
1597,346,11/5/2024,12:25:42.9 PM,Rp3,,,
1599.4,347,11/5/2024,12:25:45.3 PM,Rp3,,,
1601.1,348,11/5/2024,12:25:47.0 PM,Rp3,,,
1602.8,349,11/5/2024,12:25:48.7 PM,Rp3,,,
1604.8,350,11/5/2024,12:25:50.7 PM,Rp3,,,
1606.4,351,11/5/2024,12:25:52.3 PM,Rp3,,,
1608.9,352,11/5/2024,12:25:54.8 PM,Rp3,,,
1610.5,353,11/5/2024,12:25:56.4 PM,Rp3,,,
1612.1,354,11/5/2024,12:25:58.0 PM,Rp3,,,
1613.7,355,11/5/2024,12:25:59.6 PM,Rp3,,,
1614.6,356,11/5/2024,12:26:00.5 PM,Rp3,,,
1616.3,357,11/5/2024,12:26:02.2 PM,Rp3,,,
1618.2,358,11/5/2024,12:26:04.1 PM,Rp3,,,
1619.9,359,11/5/2024,12:26:05.8 PM,Rp3,,,
1621.7,360,11/5/2024,12:26:07.6 PM,Rp3,,,
1623.5,361,11/5/2024,12:26:09.4 PM,Rp3,,,
1625.2,362,11/5/2024,12:26:11.1 PM,Rp3,,,
1627.2,363,11/5/2024,12:26:13.1 PM,Rp3,,,
1628.9,364,11/5/2024,12:26:14.8 PM,Rp3,,,
1630.5,365,11/5/2024,12:26:16.4 PM,Rp3,,,
1632.5,366,11/5/2024,12:26:18.4 PM,Rp3,,,
1634.4,367,11/5/2024,12:26:20.3 PM,Rp3,,,
1636.2,368,11/5/2024,12:26:22.1 PM,Rp3,,,
1638.2,369,11/5/2024,12:26:24.1 PM,Rp3,,,
1640.7,370,11/5/2024,12:26:26.6 PM,Rp3,,,
1662.3,371,11/5/2024,12:26:48.2 PM,Rp3,,,
1664.7,372,11/5/2024,12:26:50.6 PM,Rp3,,,
1667.2,373,11/5/2024,12:26:53.1 PM,Rp3,,,
1669.6,374,11/5/2024,12:26:55.5 PM,Rp3,,,
1671.6,375,11/5/2024,12:26:57.5 PM,Rp3,,,
1673.6,376,11/5/2024,12:26:59.5 PM,Rp3,,,
